CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,MOMENT_DATA
2,152,551,"[2, 1445993102066, 507.95, 21.9, None, [[-1, -1, 55.4234, 21.69547, 1.4253200000000001], [1610612737, 2594, 45.90226, 35.59709, 0.0], [1610612737, 201143, 55.79485, 31.51719, 0.0], [1610612737, 201952, 39.56719, 19.43505, 0.0], [1610612737, 203145, 80.66699, 0.48677000000000004, 0.0], [1610612737, 203488, 51.48691, 11.96569, 0.0], [1610612765, 2581, 56.69448, 22.82182, 0.0], [1610612765, 101141, 50.17791, 16.19662, 0.0], [1610612765, 203382, 76.24918, 24.60864, 0.0], [1610612765, 201975, 57.34105, 46.51777, 0.0], [1610612765, 1626169, 73.51693, 35.00707, 0.0]]]"
2,152,556,"[2, 1445993102266, 507.75, 21.71, None, [[-1, -1, 52.73999, 21.40624, 3.33846], [1610612737, 2594, 42.2062, 34.3319, 0.0], [1610612737, 201143, 52.66533, 30.87147, 0.0], [1610612737, 201952, 36.22836, 19.89876, 0.0], [1610612737, 203145, 77.4771, 1.18428, 0.0], [1610612737, 203488, 47.264, 12.75195, 0.0], [1610612765, 2581, 53.21768, 22.75992, 0.0], [1610612765, 101141, 45.89979, 16.10489, 0.0], [1610612765, 203382, 73.38747, 24.69297, 0.0], [1610612765, 201975, 53.53657, 46.57026, 0.0], [1610612765, 1626169, 70.0607, 35.41301, 0.0]]]"
3,260,1,"[3, 1445995283064, 609.09, 8.81, None, [[-1, -1, 86.48744, 22.98927, 12.70694], [1610612737, 2594, 78.25845, 15.87319, 0.0], [1610612737, 200794, 63.39786, 10.13868, 0.0], [1610612737, 201143, 78.95148, 28.4709, 0.0], [1610612737, 201952, 87.21311, 17.84067, 0.0], [1610612737, 203145, 86.12647, 30.62222, 0.0], [1610612765, 101141, 66.74923, 8.20988, 0.0], [1610612765, 202704, 80.33827, 15.81456, 0.0], [1610612765, 202694, 79.20361, 45.93893, 0.0], [1610612765, 203484, 61.34042, 4.93859, 0.0], [1610612765, 203083, 73.41839, 30.55181, 0.0]]]"
3,260,29,"[3, 1445995284184, 607.97, 23.55, None, [[-1, -1, 91.44435, 27.35866, 2.20613], [1610612737, 2594, 73.90303, 26.67906, 0.0], [1610612737, 200794, 52.58364, 10.48461, 0.0], [1610612737, 201143, 79.48549, 28.16049, 0.0], [1610612737, 201952, 86.17907, 18.06653, 0.0], [1610612737, 203145, 90.04548, 27.34496, 0.0], [1610612765, 101141, 56.86224, 8.02209, 0.0], [1610612765, 202704, 73.59179, 19.14535, 0.0], [1610612765, 202694, 70.13785, 43.29258, 0.0], [1610612765, 203484, 47.48415, 9.42329, 0.0], [1610612765, 203083, 71.38983, 29.8515, 0.0]]]"
3,260,57,"[3, 1445995285304, 606.84, 22.62, None, [[-1, -1, 89.52073, 21.97959, 7.00575], [1610612737, 2594, 63.28916, 36.63366, 0.0], [1610612737, 200794, 40.58083, 11.98304, 0.0], [1610612737, 201143, 77.04005, 27.86062, 0.0], [1610612737, 201952, 83.41767, 16.45485, 0.0], [1610612737, 203145, 94.29227, 26.21244, 0.0], [1610612765, 101141, 43.23673, 11.09407, 0.0], [1610612765, 202704, 61.26039, 21.56893, 0.0], [1610612765, 202694, 58.72115, 38.37022, 0.0], [1610612765, 203484, 35.92624, 17.44195, 0.0], [1610612765, 203083, 62.96935, 28.15, 0.0]]]"
3,260,89,"[3, 1445995286584, 605.55, 21.55, None, [[-1, -1, 69.13119, 15.45749, 3.46898], [1610612737, 2594, 46.83634, 43.40572, 0.0], [1610612737, 200794, 27.08761, 16.35955, 0.0], [1610612737, 201143, 69.74301, 26.31007, 0.0], [1610612737, 201952, 70.30046, 14.3687, 0.0], [1610612737, 203145, 84.61494, 28.64871, 0.0], [1610612765, 101141, 28.41204, 18.26368, 0.0], [1610612765, 202704, 45.90789, 22.18985, 0.0], [1610612765, 202694, 44.46962, 32.22241, 0.0], [1610612765, 203484, 27.13668, 29.88899, 0.0], [1610612765, 203083, 51.01026, 27.49039, 0.0]]]"
3,260,151,"[3, 1445995289064, 603.05, 19.49, None, [[-1, -1, 40.04162, 9.41217, 3.62695], [1610612737, 2594, 21.58918, 46.75638, 0.0], [1610612737, 200794, 14.69522, 17.86032, 0.0], [1610612737, 201143, 45.49224, 23.26906, 0.0], [1610612737, 201952, 40.766, 9.1805, 0.0], [1610612737, 203145, 54.6196, 36.11092, 0.0], [1610612765, 101141, 16.83723, 19.07589, 0.0], [1610612765, 202704, 28.09106, 13.44551, 0.0], [1610612765, 202694, 18.2, 24.35831, 0.0], [1610612765, 203484, 16.07656, 39.07621, 0.0], [1610612765, 203083, 29.08522, 24.63271, 0.0]]]"
3,260,183,"[3, 1445995290344, 601.76, 18.42, None, [[-1, -1, 32.99103, 23.52353, 3.6920900000000003], [1610612737, 2594, 11.58811, 47.243, 0.0], [1610612737, 200794, 14.17829, 15.938180000000001, 0.0], [1610612737, 201143, 34.03906, 23.39347, 0.0], [1610612737, 201952, 34.08795, 10.16617, 0.0], [1610612737, 203145, 42.25417, 39.18214, 0.0], [1610612765, 101141, 13.55014, 18.44579, 0.0], [1610612765, 202704, 23.60509, 13.04333, 0.0], [1610612765, 202694, 18.29392, 29.19251, 0.0], [1610612765, 203484, 11.43415, 43.21413, 0.0], [1610612765, 203083, 22.96194, 23.55345, 0.0]]]"
3,260,186,"[3, 1445995290464, 601.64, 18.32, None, [[-1, -1, 32.50309, 23.81662, 3.73538], [1610612737, 2594, 10.96101, 47.1198, 0.0], [1610612737, 200794, 14.14246, 15.70883, 0.0], [1610612737, 201143, 33.41657, 23.45781, 0.0], [1610612737, 201952, 33.67362, 10.413640000000001, 0.0], [1610612737, 203145, 41.27989, 39.35086, 0.0], [1610612765, 101141, 13.32976, 18.62207, 0.0], [1610612765, 202704, 23.37012, 13.1963, 0.0], [1610612765, 202694, 18.90884, 29.85287, 0.0], [1610612765, 203484, 11.01009, 43.888, 0.0], [1610612765, 203083, 22.4872, 23.58792, 0.0]]]"
3,260,246,"[3, 1445995292863, 599.22, 16.32, None, [[-1, -1, 33.07873, 21.78129, 3.59526], [1610612737, 2594, 14.13084, 42.4073, 0.0], [1610612737, 200794, 7.24462, 25.86973, 0.0], [1610612737, 201143, 25.15578, 19.09848, 0.0], [1610612737, 201952, 33.467, 21.12185, 0.0], [1610612737, 203145, 26.17141, 38.11785, 0.0], [1610612765, 101141, 8.22059, 26.12942, 0.0], [1610612765, 202704, 26.19876, 22.59261, 0.0], [1610612765, 202694, 22.48126, 35.5939, 0.0], [1610612765, 203484, 11.68748, 43.17212, 0.0], [1610612765, 203083, 17.23213, 23.66125, 0.0]]]"
