CORRESPONDING SHOT,EVENT_ID,MOMENT_NUMBER,GAME_TIME_LEFT,SHOT_TIME_LEFT,TEAM1_ID,TEAM2_ID,BALL_X,BALL_Y,PLAYER1_ID,PLAYER1_X,PLAYER1_Y,PLAYER2_ID,PLAYER2_X,PLAYER2_Y,PLAYER3_ID,PLAYER3_X,PLAYER3_Y,PLAYER4_ID,PLAYER4_X,PLAYER4_Y,PLAYER5_ID,PLAYER5_X,PLAYER5_Y,PLAYER6_ID,PLAYER6_X,PLAYER6_Y,PLAYER7_ID,PLAYER7_X,PLAYER7_Y,PLAYER8_ID,PLAYER8_X,PLAYER8_Y,PLAYER9_ID,PLAYER9_X,PLAYER9_Y,PLAYER10_ID,PLAYER10_X,PLAYER10_Y
3,260,57,606.84,22.62,1610612737,1610612765,21.97959,7.00575,2594,63.28916,36.63366,200794,40.58083,11.98304,201143,77.04005,27.86062,201952,83.41767,16.45485,203145,94.29227,26.21244,101141,43.23673,11.09407,202704,61.26039,21.56893,202694,58.72115,38.37022,203484,35.92624,17.44195,203083,62.96935,28.15
3,260,89,605.55,21.55,1610612737,1610612765,15.45749,3.46898,2594,46.83634,43.40572,200794,27.08761,16.35955,201143,69.74301,26.31007,201952,70.30046,14.3687,203145,84.61494,28.64871,101141,28.41204,18.26368,202704,45.90789,22.18985,202694,44.46962,32.22241,203484,27.13668,29.88899,203083,51.01026,27.49039
3,260,151,603.05,19.49,1610612737,1610612765,9.41217,3.62695,2594,21.58918,46.75638,200794,14.69522,17.86032,201143,45.49224,23.26906,201952,40.766,9.1805,203145,54.6196,36.11092,101141,16.83723,19.07589,202704,28.09106,13.44551,202694,18.2,24.35831,203484,16.07656,39.07621,203083,29.08522,24.63271
3,260,183,601.76,18.42,1610612737,1610612765,23.52353,3.6920900000000003,2594,11.58811,47.243,200794,14.17829,15.938180000000001,201143,34.03906,23.39347,201952,34.08795,10.16617,203145,42.25417,39.18214,101141,13.55014,18.44579,202704,23.60509,13.04333,202694,18.29392,29.19251,203484,11.43415,43.21413,203083,22.96194,23.55345
3,260,186,601.64,18.32,1610612737,1610612765,23.81662,3.73538,2594,10.96101,47.1198,200794,14.14246,15.70883,201143,33.41657,23.45781,201952,33.67362,10.413640000000001,203145,41.27989,39.35086,101141,13.32976,18.62207,202704,23.37012,13.1963,202694,18.90884,29.85287,203484,11.01009,43.888,203083,22.4872,23.58792
3,260,246,599.22,16.32,1610612737,1610612765,21.78129,3.59526,2594,14.13084,42.4073,200794,7.24462,25.86973,201143,25.15578,19.09848,201952,33.467,21.12185,203145,26.17141,38.11785,101141,8.22059,26.12942,202704,26.19876,22.59261,202694,22.48126,35.5939,203484,11.68748,43.17212,203083,17.23213,23.66125
3,260,259,598.7,15.89,1610612737,1610612765,23.20869,3.38965,2594,17.11247,38.4755,200794,5.91021,29.13537,201143,23.21412,18.0245,201952,33.58554,22.54723,203145,22.04301,37.83844,101141,8.71139,26.9995,202704,27.72667,23.57603,202694,20.09738,34.6838,203484,14.16501,39.81411,203083,17.92797,22.13508
3,260,286,597.61,14.99,1610612737,1610612765,41.88573,2.952,2594,15.96689,31.19471,200794,7.89653,34.06925,201143,21.59385,16.8396,201952,33.82834,22.56564,203145,21.89756,42.62146,101141,9.56627,32.75621,202704,25.57793,25.23302,202694,14.34888,32.50496,203484,16.22104,33.62971,203083,17.00389,20.81025
3,260,293,597.32,14.76,1610612737,1610612765,42.26181,1.94007,2594,14.68314,29.13465,200794,8.80684,34.65554,201143,21.4729,16.32259,201952,34.02111,22.31619,203145,21.37471,43.22146,101141,10.61562,34.33669,202704,24.18099,25.24877,202694,14.06556,33.13461,203484,15.91118,32.48117,203083,16.28049,21.03886
3,260,395,593.21,22.45,1610612737,1610612765,27.08741,2.82306,2594,8.07021,22.78815,200794,1.17529,32.82846,201143,31.50047,21.28209,201952,46.61422,24.29208,203145,24.90992,44.77218,101141,6.50647,26.8321,202704,14.14292,31.79923,202694,42.56389,46.79703,203484,11.00234,24.80073,203083,12.51231,21.69052
